model_features,model_pvalue,r2,adj_r2,explained_variance,nobs,feature_effects
wind_speed_10m + generation_forecast,0.0,0.07966710807171073,0.07964796039893585,0.07966710807171073,96133,"wind_speed_10m: coef=-5.3764, p=0 | generation_forecast: coef=0.0253, p=0"
wind_speed_10m + shortwave_radiation,0.0,0.04613000261532729,0.04611019922301751,0.046130002615327514,96337,"wind_speed_10m: coef=-2.2190, p=0 | shortwave_radiation: coef=-0.0388, p=5.55e-205"
cloud_cover + wind_speed_10m,0.0,0.038512031211647146,0.03849206966185603,0.03851203121164726,96337,"cloud_cover: coef=10.3051, p=3.28e-38 | wind_speed_10m: coef=-2.3639, p=0"
temperature_2m + wind_speed_10m,0.0,0.0380541347162584,0.03803416366003143,0.0380541347162584,96337,"temperature_2m: coef=-0.4148, p=3.5e-28 | wind_speed_10m: coef=-2.2714, p=0"
wind_speed_10m + total_load,0.0,0.036862664830643266,0.03684266675468706,0.03686266483064338,96326,"wind_speed_10m: coef=-2.2555, p=0 | total_load: coef=-0.0002, p=0.0801"
shortwave_radiation + total_load,1.4427981294166306e-258,0.0122516118523599,0.012231102765472235,0.012251611852360011,96326,"shortwave_radiation: coef=-0.0450, p=5.3e-254 | total_load: coef=-0.0013, p=1.11e-35"
shortwave_radiation + generation_forecast,5.054012048462595e-258,0.01225029631918273,0.012229746028874278,0.01225029631918273,96133,"shortwave_radiation: coef=-0.0441, p=1.32e-248 | generation_forecast: coef=-0.0030, p=7.01e-35"
temperature_2m + shortwave_radiation,6.639588162949627e-245,0.011604866181699203,0.011584346009510305,0.01160486618169887,96337,"temperature_2m: coef=0.4365, p=5e-22 | shortwave_radiation: coef=-0.0494, p=1.52e-228"
cloud_cover + shortwave_radiation,3.8947624302978227e-230,0.01090682398081444,0.010886289316500264,0.01090682398081444,96337,"cloud_cover: coef=-4.0000, p=5.5e-07 | shortwave_radiation: coef=-0.0424, p=9.82e-232"
temperature_2m + generation_forecast,2.1458644535858492e-33,0.0015637768692285947,0.0015430042441765268,0.0015637768692287057,96133,"temperature_2m: coef=-0.3854, p=1.87e-23 | generation_forecast: coef=-0.0020, p=5.62e-16"
temperature_2m + total_load,3.160031937121078e-32,0.0015048856628910867,0.00148415343664543,0.0015048856628911977,96326,"temperature_2m: coef=-0.4280, p=3.62e-27 | total_load: coef=-0.0008, p=3.16e-15"
temperature_2m + cloud_cover,7.753069973516902e-19,0.0008653846317693281,0.0008446414961086335,0.0008653846317695502,96337,"temperature_2m: coef=-0.3512, p=6.87e-20 | cloud_cover: coef=-0.6524, p=0.412"
total_load + generation_forecast,1.1759168990337963e-17,0.0008106958292087851,0.0007899075361854635,0.00081069582920823,96133,"total_load: coef=-0.0005, p=1.91e-07 | generation_forecast: coef=-0.0017, p=1.73e-12"
cloud_cover + generation_forecast,5.9468979356321535e-12,0.0005376303420299156,0.0005168363678355048,0.0005376303420300266,96133,"cloud_cover: coef=0.7450, p=0.356 | generation_forecast: coef=-0.0018, p=6.75e-13"
cloud_cover + total_load,6.286711811929127e-07,0.00029645133073119556,0.00027569401319205156,0.00029645133073152863,96326,"cloud_cover: coef=0.1499, p=0.851 | total_load: coef=-0.0005, p=9.3e-08"
